ID, time_alive, example_vector.x, example_vector.y, example_array[0], example_array[1]
0, 84, 1, 2, 0.394383, 0.783099
1, 35, 2, 3, 0.335223, 0.768230
2, 62, 3, 4, 0.628871, 0.364784
3, 26, 4, 5, 0.635712, 0.717297
4, 11, 5, 6, 0.242887, 0.137232
5, 30, 6, 7, 0.129790, 0.108809
6, 29, 7, 8, 0.839112, 0.612640
7, 67, 8, 9, 0.493583, 0.972775
8, 29, 9, 10, 0.769914, 0.400229
9, 37, 10, 11, 0.807725, 0.919026
10, 13, 11, 12, 0.086056, 0.192214
11, 73, 12, 13, 0.064171, 0.020023
12, 5, 13, 14, 0.970634, 0.902208
13, 5, 14, 15, 0.375207, 0.760249
14, 24, 15, 16, 0.039280, 0.437638
15, 67, 16, 17, 0.284293, 0.738534
16, 87, 17, 18, 0.165974, 0.440105
17, 84, 18, 19, 0.228968, 0.893372
18, 32, 19, 20, 0.588640, 0.657304
19, 12, 20, 21, 0.398437, 0.814767
20, 95, 21, 22, 0.215825, 0.950252
21, 1, 22, 23, 0.641081, 0.431953
22, 52, 23, 24, 0.307458, 0.447034
23, 41, 24, 25, 0.556444, 0.416501
24, 40, 25, 26, 0.126075, 0.495444
25, 71, 26, 27, 0.684445, 0.383188
26, 67, 27, 28, 0.232262, 0.584489
27, 65, 28, 29, 0.125475, 0.793470
28, 28, 29, 30, 0.950104, 0.052529
29, 19, 30, 31, 0.797798, 0.732654
30, 40, 31, 32, 0.759735, 0.093480
31, 45, 32, 33, 0.069906, 0.204655
32, 79, 33, 34, 0.755581, 0.051939
