ID, age
5, 50
7, 107
8, 64
9, 36
10, 77
11, 42
12, 105
13, 74
19, 51
20, 26
22, 82
30, 44
31, 17
32, 37
34, 84
36, 108
37, 71
38, 26
40, 44
42, 36
43, 34
44, 99
47, 39
48, 30
50, 28
51, 41
56, 77
60, 20
61, 40
63, 42
64, 51
65, 20
66, 61
68, 28
70, 39
71, 110
74, 29
76, 49
81, 23
82, 91
86, 18
91, 75
92, 91
95, 27
96, 41
98, 109
104, 82
108, 32
110, 67
111, 71
112, 16
116, 80
117, 104
119, 34
121, 44
122, 46
125, 86
128, 24
129, 42
134, 101
136, 21
137, 98
138, 34
139, 39
142, 47
144, 18
148, 23
149, 30
150, 55
159, 70
162, 79
163, 43
167, 15
168, 49
169, 79
171, 29
174, 58
176, 42
178, 74
182, 52
185, 22
186, 89
188, 73
190, 44
192, 50
195, 43
196, 58
197, 26
198, 43
199, 44
201, 19
202, 58
206, 21
207, 55
208, 19
209, 33
210, 43
212, 84
213, 32
214, 32
216, 39
218, 85
225, 105
226, 20
227, 54
229, 101
231, 97
235, 22
237, 19
239, 26
241, 43
242, 114
245, 83
247, 37
248, 26
249, 25
250, 20
253, 45
255, 20
