ID, gender, age, household, church
1, 1, 21, 5959, 168
2, 1, 20, 5453, 112
3, 1, 16, 5078, 29
4, 1, 24, 5523, 144
5, 1, 21, 2790, 11
6, 1, 23, 3482, 111
7, 1, 15, 4505, 97
8, 1, 20, 4787, 12
9, 1, 23, 3286, 15
10, 1, 21, 1773, 178
11, 1, 18, 1797, 148
12, 1, 22, 3802, 82
13, 1, 15, 2253, -1
14, 1, 15, 6583, 138
15, 1, 15, 3977, 46
16, 1, 20, 4950, 15
17, 1, 20, 4906, 74
18, 1, 22, 2877, 84
19, 1, 20, 5645, 166
20, 1, 19, 5378, 19
21, 1, 23, 1636, 192
22, 1, 19, 3239, 209
23, 1, 24, 6058, 123
24, 1, 23, 2011, 122
25, 1, 21, 5786, 104
26, 1, 15, 6098, -1
27, 1, 16, 5929, 137
28, 1, 17, 4459, 65
29, 1, 15, 4379, 42
30, 1, 24, 3143, 131
31, 1, 24, 1516, 12
32, 1, 16, 4305, 54
33, 1, 22, 3007, 21
34, 1, 18, 3826, 77
35, 1, 18, 5558, 82
36, 1, 16, 3462, 180
37, 1, 24, 2775, 56
38, 1, 20, 5897, 27
39, 1, 18, 4563, 152
40, 1, 16, 4947, 97
41, 1, 23, 3263, 164
42, 1, 15, 4645, 203
43, 1, 19, 4196, 70
44, 1, 21, 2255, 13
45, 1, 20, 5675, 177
46, 1, 16, 5234, 60
47, 1, 22, 6529, 133
48, 1, 20, 4935, 21
49, 1, 18, 2427, 155
50, 1, 16, 6141, 171
51, 1, 19, 5535, 182
52, 1, 23, 6168, 150
53, 1, 23, 1444, 21
54, 1, 22, 2172, 153
55, 1, 18, 6467, 126
56, 1, 24, 6473, 43
57, 1, 15, 4743, 146
58, 1, 21, 5051, 197
59, 1, 19, 4867, 176
60, 1, 19, 5598, 170
61, 1, 23, 5767, 10
62, 1, 23, 6590, 196
63, 1, 15, 6368, 184
64, 1, 15, 5671, 206
65, 1, 21, 5212, 20
66, 1, 20, 5555, 80
67, 1, 23, 1365, 122
68, 1, 19, 6490, 201
69, 1, 24, 5026, 107
70, 1, 16, 1660, 145
71, 1, 15, 4722, 88
72, 1, 18, 6470, 62
73, 1, 21, 2918, 77
74, 1, 23, 2528, 138
75, 1, 21, 6119, 27
76, 1, 19, 3868, 198
77, 1, 22, 5783, 37
78, 1, 23, 1163, 126
79, 1, 17, 5736, 149
80, 1, 15, 3788, 168
81, 1, 16, 4198, 144
82, 1, 20, 6514, 32
83, 1, 19, 4744, 181
84, 1, 22, 6309, 15
85, 1, 15, 5025, 119
86, 1, 19, 6118, -1
87, 1, 16, 1385, 177
88, 1, 17, 5189, 59
89, 1, 20, 2296, 209
90, 1, 17, 2853, 143
91, 1, 15, 6038, 185
92, 1, 16, 1761, 82
93, 1, 20, 6041, 1
94, 1, 24, 6150, 142
95, 1, 20, 5831, 124
96, 1, 19, 5729, 142
97, 1, 22, 5011, 62
98, 1, 19, 3214, 209
99, 1, 17, 5994, 66
100, 1, 16, 4798, 21
101, 1, 24, 4903, 84
102, 1, 23, 1495, 8
103, 1, 23, 3452, 198
104, 1, 23, 2074, 107
105, 1, 21, 6363, 138
106, 1, 21, 1201, 199
107, 1, 15, 4432, 136
108, 1, 22, 3249, 94
109, 1, 20, 3293, 123
110, 1, 23, 1469, 92
111, 1, 15, 2663, 160
112, 1, 19, 6082, 26
113, 1, 23, 3435, 22
114, 1, 22, 6043, 77
115, 1, 17, 406, 199
116, 1, 16, 5864, 78
117, 1, 16, 4460, 139
118, 1, 17, 5670, 197
119, 1, 24, 6456, 2
120, 1, 24, 5530, 182
121, 1, 15, 3191, 178
122, 1, 24, 6558, 90
123, 1, 20, 908, 133
124, 1, 15, 3917, 14
125, 1, 24, 1084, 155
126, 1, 17, 1943, 174
127, 1, 16, 6316, -1
128, 1, 20, 4243, 74
129, 1, 19, 6494, 188
130, 1, 22, 4089, 152
131, 1, 23, 6588, 63
132, 1, 21, 310, 19
133, 1, 17, 6032, 28
134, 1, 15, 2848, 48
135, 1, 15, 3710, 161
136, 1, 22, 5725, 197
137, 1, 20, 3350, 88
138, 1, 24, 4089, 152
139, 1, 19, 3462, 180
140, 1, 18, 4965, 178
141, 1, 21, 2103, 75
142, 1, 22, 5115, 125
143, 1, 22, 4285, 136
144, 1, 23, 1189, 15
145, 1, 23, 1723, 99
146, 1, 18, 4148, 131
147, 1, 19, 1890, 95
148, 1, 24, 2309, 80
149, 1, 23, 1874, 131
150, 1, 16, 1882, 209
151, 1, 24, 1261, 201
152, 1, 18, 4603, 13
153, 1, 22, 2117, -1
154, 1, 15, 3928, 60
155, 1, 20, 3336, 154
156, 1, 16, 4047, 13
157, 1, 16, 6077, 44
158, 1, 15, 3641, -1
159, 1, 21, 3082, -1
160, 1, 24, 5319, 166
161, 1, 15, 985, 170
162, 1, 17, 2209, 148
163, 1, 20, 5251, -1
164, 1, 18, 3738, 92
165, 1, 19, 6311, 92
166, 1, 15, 1707, 60
167, 1, 20, 5894, 161
168, 1, 16, 2986, 58
169, 1, 20, 768, 128
170, 1, 23, 164, 185
171, 1, 17, 4939, 145
172, 1, 15, 1861, -1
173, 1, 18, 6132, 161
174, 1, 19, 6564, 74
175, 1, 22, 2520, -1
176, 1, 24, 5731, 83
177, 1, 22, 4984, 112
178, 1, 16, 6556, 195
179, 1, 23, 6080, 54
180, 1, 23, 5105, 93
181, 1, 20, 5427, 198
182, 1, 19, 6328, 161
183, 1, 20, 6468, 65
184, 1, 16, 2539, 134
185, 1, 18, 6272, 175
186, 1, 24, 4644, 70
187, 1, 21, 4545, 180
188, 1, 16, 4212, 112
189, 1, 20, 6569, 91
190, 1, 17, 2958, 172
191, 1, 16, 5924, 62
192, 1, 22, 6207, 202
193, 1, 17, 5626, 120
194, 1, 22, 5615, 12
195, 1, 19, 6513, 2
196, 1, 19, 3526, 48
197, 1, 19, 5706, 190
198, 1, 21, 5544, 156
199, 1, 17, 5887, 155
200, 1, 23, 4438, 80
201, 1, 17, 3677, 174
202, 1, 22, 3585, 203
203, 1, 21, 3638, 182
204, 1, 18, 3387, 75
205, 1, 24, 6274, 208
206, 1, 15, 1829, 120
207, 1, 23, 6400, 43
208, 1, 20, 4453, 97
209, 1, 24, 6424, 190
210, 1, 19, 3511, 173
211, 1, 23, 6395, 165
212, 1, 19, 3860, 18
213, 1, 22, 5140, 51
214, 1, 16, 2575, 97
215, 1, 20, 5184, 99
216, 1, 19, 5330, 56
217, 1, 22, 4376, 117
218, 1, 18, 3492, 86
219, 1, 16, 6498, 27
220, 1, 20, 5149, 160
221, 1, 16, 5993, 84
222, 1, 16, 1844, 203
223, 1, 23, 3723, 152
224, 1, 22, 5478, 138
225, 1, 22, 3450, 169
226, 1, 17, 6477, 4
227, 1, 15, 1332, 129
228, 1, 21, 6561, 124
229, 1, 18, 3052, 115
230, 1, 15, 6229, 73
231, 1, 24, 3726, 45
232, 1, 15, 6497, 84
233, 1, 23, 6045, 56
234, 1, 20, 6415, 80
235, 1, 15, 4900, 45
236, 1, 17, 4664, 143
237, 1, 22, 6524, 33
238, 1, 16, 547, 9
239, 1, 23, 6289, 184
240, 1, 15, 5293, 149
241, 1, 21, 6229, 73
242, 1, 22, 6469, 206
243, 1, 21, 3106, 145
244, 1, 20, 4856, 81
245, 1, 20, 3615, 177
246, 1, 23, 5613, 47
247, 1, 18, 2955, 23
248, 1, 17, 2519, 6
249, 1, 20, 6246, 74
250, 1, 22, 4066, 189
251, 1, 19, 5081, 18
252, 1, 24, 3601, 13
253, 1, 16, 5089, 27
254, 1, 21, 4761, 9
255, 1, 17, 6178, 131
256, 1, 18, 3843, 160
257, 1, 19, 6205, 57
258, 1, 17, 3546, -1
259, 1, 23, 6067, 116
260, 1, 21, 5335, 149
261, 1, 17, 4927, -1
262, 1, 22, 472, 126
263, 1, 17, 5778, 135
264, 1, 22, 4869, 185
265, 1, 19, 1923, 86
266, 1, 16, 3933, 149
267, 1, 21, 3648, 138
268, 1, 15, 5410, 190
269, 1, 19, 5007, 97
270, 1, 24, 5262, 153
271, 1, 16, 3847, 18
272, 1, 24, 3218, 63
273, 1, 20, 6588, 63
274, 1, 18, 6007, 50
275, 1, 20, 2574, 163
276, 1, 21, 4573, 91
277, 1, 21, 4544, 14
278, 1, 15, 1531, 120
279, 1, 15, 4125, 192
280, 1, 19, 6228, 116
281, 1, 19, 4723, 192
282, 1, 19, 4022, 177
283, 1, 21, 5179, 165
284, 1, 18, 2301, 95
285, 1, 20, 4313, 149
286, 1, 17, 2290, -1
287, 1, 23, 4248, 170
288, 1, 22, 6471, 26
289, 1, 22, 5718, 124
290, 1, 22, 3651, 113
291, 1, 22, 6213, 196
292, 1, 18, 6536, 189
293, 1, 18, 641, 164
294, 1, 15, 5473, 33
295, 1, 15, 6568, 79
296, 1, 15, 3672, 114
297, 1, 15, 3736, 135
298, 1, 15, 6563, 167
299, 1, 22, 4117, 186
300, 1, 15, 2955, 23
301, 1, 16, 6583, 138
302, 1, 22, 5493, 184
303, 1, 18, 6456, 2
304, 1, 23, 1942, 201
305, 1, 17, 4922, 29
306, 1, 15, 5140, 51
307, 1, 24, 6126, 185
308, 1, 16, 6541, 201
309, 1, 15, 4739, 161
310, 1, 20, 6366, 52
311, 1, 19, 333, 139
312, 1, 22, 4492, 203
313, 1, 17, 5009, 132
314, 1, 24, 323, 29
315, 1, 18, 6286, 151
316, 1, 19, 5643, 146
317, 1, 24, 5390, 167
318, 1, 18, 5179, 165
319, 1, 17, 1605, 172
320, 1, 15, 2634, 12
321, 1, 16, 1314, 17
322, 1, 21, 1616, 95
323, 1, 20, 6002, 60
324, 1, 23, 221, 22
325, 1, 20, 929, 184
326, 1, 16, 5394, 144
327, 1, 21, 1856, 163
328, 1, 21, 216, 88
329, 1, 19, 5918, 86
330, 1, 21, 3960, 56
331, 1, 22, 6210, 136
332, 1, 17, 5582, 18
333, 1, 20, 4541, 201
334, 1, 20, 2838, 65
335, 1, 20, 2656, 124
336, 1, 21, 2102, 50
337, 1, 20, 6443, 111
338, 1, 24, 3168, 51
339, 1, 17, 2230, 146
340, 1, 18, 6227, 45
341, 1, 15, 1004, 203
342, 1, 16, 5860, 196
343, 1, 18, 4989, 163
344, 1, 17, 1685, 165
345, 1, 22, 4979, 5
346, 1, 18, 5304, 154
347, 1, 15, 1610, 15
348, 1, 19, 4692, 162
349, 1, 17, 1793, 99
350, 1, 24, 5833, 206
351, 1, 16, 3364, 28
352, 1, 24, 1777, 18
353, 1, 15, 4105, 108
354, 1, 22, 6054, 146
355, 1, 17, 1098, 111
356, 1, 15, 235, 112
357, 1, 23, 0, 0
358, 1, 15, 3437, 167
359, 1, 16, 1112, 65
360, 1, 24, 6092, 74
361, 1, 18, 4117, 186
362, 1, 21, 2827, 136
363, 1, 24, 6191, 37
364, 1, 19, 4629, 43
365, 1, 20, 3386, 62
366, 1, 22, 6040, 44
367, 1, 24, 1024, 11
368, 1, 22, 6026, 170
369, 1, 16, 4983, 182
370, 1, 24, 3378, 123
371, 1, 19, 1742, -1
372, 1, 21, 5838, 17
373, 1, 23, 419, 167
374, 1, 24, 1753, 148
375, 1, 20, 4480, 152
376, 1, 21, 2467, 152
377, 1, 17, 4897, -1
378, 1, 24, 2879, 203
379, 1, 22, 4327, 141
380, 1, 16, 2110, 188
381, 1, 19, 5045, 77
382, 1, 18, 1463, 140
383, 1, 22, 6271, 79
384, 1, 15, 6457, 98
385, 1, 22, 6423, 22
386, 1, 24, 395, 143
387, 1, 19, 1791, 197
388, 1, 20, 2018, 32
389, 1, 21, 5295, 77
390, 1, 24, 5910, 194
391, 1, 20, 5301, 80
392, 1, 21, 410, 177
393, 1, 15, 2581, 190
394, 1, 18, 5769, 86
395, 1, 21, 5036, 162
396, 1, 15, 3996, -1
397, 1, 20, 6577, 144
398, 1, 21, 6480, 210
399, 1, 18, 6494, 188
400, 1, 19, 6427, 86
401, 1, 24, 1257, 98
402, 1, 21, 5923, 26
403, 1, 16, 1273, 66
404, 1, 22, 4143, 39
405, 1, 16, 5967, 79
406, 1, 15, 4082, 10
407, 1, 23, 4158, 34
408, 1, 17, 4179, 56
409, 1, 21, 6234, 63
410, 1, 22, 6056, 22
411, 1, 15, 3885, 37
412, 1, 15, 3531, 1
413, 1, 19, 6082, 26
414, 1, 18, 2721, 17
415, 1, 18, 1822, 133
416, 1, 16, 6223, 128
417, 1, 22, 4290, -1
418, 1, 24, 5044, 86
419, 1, 16, 5887, 155
420, 1, 22, 6234, 63
421, 1, 24, 5523, 144
422, 1, 16, 4576, 5
423, 1, 19, 3644, 203
424, 1, 22, 4804, 41
425, 1, 20, 6346, 76
426, 1, 17, 6247, 3
427, 1, 15, 5610, 81
428, 1, 24, 2389, 64
429, 1, 23, 4908, 84
430, 1, 21, 6090, 34
431, 1, 15, 6535, -1
432, 1, 19, 3687, 108
433, 1, 16, 748, 75
434, 1, 22, 2910, 47
435, 1, 15, 4413, 166
436, 1, 18, 4417, 141
437, 1, 21, 6568, 79
438, 1, 17, 2777, 137
439, 1, 18, 3156, 138
440, 1, 20, 3479, 107
441, 1, 21, 6530, 191
442, 1, 22, 6011, 26
443, 1, 16, 5077, 137
444, 1, 19, 4885, 168
445, 1, 24, 5501, 149
446, 1, 21, 6358, 22
447, 1, 17, 4509, 200
448, 1, 16, 4227, 12
449, 1, 17, 3629, 19
450, 1, 15, 4439, 59
451, 1, 18, 2730, 94
452, 1, 17, 476, 54
453, 1, 22, 1263, 66
454, 1, 19, 6531, 186
455, 1, 15, 5045, 77
456, 1, 18, 4644, 70
457, 1, 16, 1711, 198
